product_id,product_name,category,price,stock,description,shop_name,rating,reviews_count,image_url
PROD001,Keripik Singkong Balado Pedas,Makanan,25000,150,"Keripik singkong renyah dengan bumbu balado pedas manis asli Padang.",Dapur Nenek,4.8,256,https://picsum.photos/seed/PROD001/400/400
PROD002,Kemeja Batik Pria Lengan Panjang,Pakaian,250000,50,"Kemeja batik katun primisima, adem dan nyaman dipakai untuk acara formal.",Batik Jaya,4.9,512,https://picsum.photos/seed/PROD002/400/400
PROD003,Kopi Robusta Gayo 250gr,Minuman,75000,80,"Biji kopi robusta asli Gayo, Aceh. Aroma kuat dan rasa yang mantap.",Kopi Nusantara,4.7,320,https://picsum.photos/seed/PROD003/400/400
PROD004,Gamis Wanita Modern Syari,Pakaian,350000,45,"Gamis bahan wolfis premium dengan desain modern dan elegan.",Hijab Style,4.8,450,https://picsum.photos/seed/PROD004/400/400
PROD005,Rendang Daging Sapi Instan,Makanan,85000,90,"Rendang daging sapi siap saji, praktis dan lezat tanpa bahan pengawet.",Rasa Minang,4.9,680,https://picsum.photos/seed/PROD005/400/400
PROD006,Kaos Polos Katun Combed 30s,Pakaian,65000,200,"Kaos polos unisex bahan katun combed 30s, lembut dan tidak panas.",Basic Wear,4.6,1124,https://picsum.photos/seed/PROD006/400/400
PROD007,Teh Hijau Melati Celup,Minuman,30000,120,"Teh hijau pilihan dengan aroma bunga melati yang menenangkan. Isi 25 kantong.",Sari Wangi Teh,4.7,188,https://picsum.photos/seed/PROD007/400/400
PROD008,Sambal Bawang Botol,Makanan,35000,110,"Sambal bawang pedas, dibuat dari bahan-bahan segar pilihan.",Sambal Juara,4.8,310,https://picsum.photos/seed/PROD008/400/400
PROD009,Celana Chino Pria Slim Fit,Pakaian,180000,75,"Celana chino bahan katun stretch, model slim fit yang modern.",Urban Male,4.5,215,https://picsum.photos/seed/PROD009/400/400
PROD010,Susu Kurma Organik 1L,Minuman,55000,60,"Susu segar dipadukan dengan sari kurma organik, menyehatkan dan enak.",Sehat Selalu,4.9,410,https://picsum.photos/seed/PROD010/400/400
PROD011,Kue Lapis Legit Premium,Makanan,150000,40,"Kue lapis legit dengan resep kuno, menggunakan mentega Wijsman.",Toko Kue Ibu,4.9,150,https://picsum.photos/seed/PROD011/400/400
PROD012,Jaket Hoodie Jumper,Pakaian,155000,100,"Jaket hoodie bahan fleece tebal, cocok untuk pria dan wanita.",Fashionista,4.6,350,https://picsum.photos/seed/PROD012/400/400
PROD013,Jus Jambu Biji Merah Asli,Minuman,22000,95,"Jus jambu biji merah tanpa tambahan gula dan pengawet. Kemasan 1 liter.",Fruitastic,4.7,98,https://picsum.photos/seed/PROD013/400/400
PROD014,Abon Sapi Original,Makanan,45000,130,"Abon sapi manis gurih, cocok sebagai lauk atau taburan roti.",Dapur Nenek,4.8,205,https://picsum.photos/seed/PROD014/400/400
PROD015,Daster Batik Rumahan,Pakaian,50000,180,"Daster bahan katun rayon, adem dan nyaman untuk dipakai sehari-hari.",Batik Jaya,4.7,430,https://picsum.photos/seed/PROD015/400/400
PROD016,Madu Hutan Murni 500ml,Minuman,120000,70,"Madu hutan asli dari pedalaman Sumatera, khasiat terjamin.",Herbal Sehat,4.9,300,https://picsum.photos/seed/PROD016/400/400
PROD017,Mie Lidi Pedas Bumbu Basah,Makanan,15000,250,"Cemilan mie lidi dengan bumbu basah pedas yang bikin nagih.",Cemilan Asik,4.5,550,https://picsum.photos/seed/PROD017/400/400
PROD018,Kopi Arabika Toraja 250gr,Minuman,95000,65,"Biji kopi arabika specialty dari Toraja. Cocok untuk manual brew.",Kopi Nusantara,4.8,280,https://picsum.photos/seed/PROD018/400/400
PROD019,Tunik Wanita Lengan Panjang,Pakaian,140000,80,"Tunik muslimah bahan katun toyobo, simpel dan elegan.",Hijab Style,4.7,290,https://picsum.photos/seed/PROD019/400/400
PROD020,Bakso Aci Instan Komplit,Makanan,28000,140,"Paket bakso aci instan komplit dengan cuanki, pilus, dan bumbu pedas.",Cemilan Asik,4.6,780,https://picsum.photos/seed/PROD020/400/400
PROD021,Celana Kulot Wanita,Pakaian,110000,110,"Celana kulot bahan scuba, nyaman dan flowy untuk gaya kasual.",Fashionista,4.5,310,https://picsum.photos/seed/PROD021/400/400
PROD022,Sirup Markisa Asli,Minuman,60000,55,"Sirup kental dari buah markisa asli Medan, segar untuk dibuat minuman.",Rasa Minang,4.8,120,https://picsum.photos/seed/PROD022/400/400
PROD023,Cokelat Batang Dark 70%,Makanan,40000,90,"Cokelat hitam 70% kakao, baik untuk kesehatan jantung.",Sehat Selalu,4.7,180,https://picsum.photos/seed/PROD023/400/400
PROD024,Koko Pria Dewasa Modern,Pakaian,175000,60,"Baju koko pria desain modern dengan bahan katun bordir.",Batik Jaya,4.8,240,https://picsum.photos/seed/PROD024/400/400
PROD025,Wedang Uwuh Rempah Komplit,Minuman,32000,150,"Paket seduh wedang uwuh, menghangatkan badan dan menjaga stamina.",Herbal Sehat,4.9,400,https://picsum.photos/seed/PROD025/400/400
PROD026,Tempe Keripik Sagu,Makanan,22000,160,"Keripik tempe renyah dibalut tepung sagu, gurih dan unik.",Dapur Nenek,4.6,195,https://picsum.photos/seed/PROD026/400/400
PROD027,Rok Plisket Premium,Pakaian,95000,130,"Rok plisket bahan hyget super, tidak menerawang dan jatuh.",Fashionista,4.7,650,https://picsum.photos/seed/PROD027/400/400
PROD028,Sari Lemon Murni 500ml,Minuman,45000,85,"100% perasan lemon murni, cocok untuk diet dan menjaga imunitas.",Fruitastic,4.8,330,https://picsum.photos/seed/PROD028/400/400
PROD029,Dendeng Balado Kering,Makanan,75000,70,"Dendeng sapi kering renyah dengan bumbu balado pedas.",Rasa Minang,4.7,210,https://picsum.photos/seed/PROD029/400/400
PROD030,Kemeja Flanel Pria,Pakaian,160000,90,"Kemeja flanel lengan panjang bahan katun tebal dan lembut.",Urban Male,4.6,380,https://picsum.photos/seed/PROD030/400/400
PROD031,Susu Kedelai Bubuk Instan,Minuman,38000,115,"Susu kedelai bubuk tanpa pemanis buatan, kaya protein nabati.",Sehat Selalu,4.5,140,https://picsum.photos/seed/PROD031/400/400
PROD032,Dodol Garut Asli,Makanan,30000,100,"Dodol Garut dengan aneka rasa, dibuat dari resep turun temurun.",Cemilan Asik,4.7,250,https://picsum.photos/seed/PROD032/400/400
PROD033,Legging Wanita Wudhu,Pakaian,55000,150,"Legging panjang sekaligus kaos kaki, praktis untuk berwudhu.",Hijab Style,4.8,500,https://picsum.photos/seed/PROD033/400/400
PROD034,Cokelat Panas Bubuk,Minuman,48000,80,"Minuman cokelat bubuk premium, kental dan nikmat disajikan panas.",Kopi Nusantara,4.7,190,https://picsum.photos/seed/PROD034/400/400
PROD035,Bawang Goreng Renyah,Makanan,20000,200,"Bawang goreng sumenep super renyah dan wangi. Kemasan 100gr.",Dapur Nenek,4.9,800,https://picsum.photos/seed/PROD035/400/400
PROD036,Blouse Wanita Korea Style,Pakaian,125000,95,"Blouse wanita model korea bahan sifon ceruti.",Fashionista,4.6,410,https://picsum.photos/seed/PROD036/400/400
PROD037,Teh Bunga Telang Kering,Minuman,25000,130,"Bunga telang kering organik, bisa berubah warna saat diberi lemon.",Herbal Sehat,4.8,280,https://picsum.photos/seed/PROD037/400/400
PROD038,Makaroni Bantet Pedas Daun Jeruk,Makanan,18000,300,"Makaroni goreng bantet dengan bumbu pedas dan aroma daun jeruk.",Cemilan Asik,4.5,950,https://picsum.photos/seed/PROD038/400/400
PROD039,Celana Jeans Pria Regular Fit,Pakaian,220000,70,"Celana jeans bahan denim 14oz, model regular fit klasik.",Urban Male,4.7,320,https://picsum.photos/seed/PROD039/400/400
PROD040,Jahe Merah Instan,Minuman,35000,140,"Minuman jahe merah instan, menghangatkan tubuh dan meredakan masuk angin.",Herbal Sehat,4.8,450,https://picsum.photos/seed/PROD040/400/400
