product_id,product_name,category,price,stock,description,shop_name,rating,reviews_count,image_url
PROD001,Spicy Balado Cassava Chips,Food,25000,150,"Crispy cassava chips with authentic Padang sweet and spicy balado seasoning.",Grandma's Kitchen,4.8,256,https://images.unsplash.com/photo-1613919113640-25732ec5e61f?w=400&h=400&fit=crop
PROD002,Men's Long Sleeve Batik Shirt,Clothing,250000,50,"Premium cotton batik shirt, cool and comfortable for formal events.",Batik Jaya,4.9,512,https://images.unsplash.com/photo-1622519407650-3df9883f76a2?w=400&h=400&fit=crop
PROD003,Gayo Robusta Coffee 250gr,Beverage,75000,80,"Original Gayo robusta coffee beans from Aceh. Strong aroma and great taste.",Nusantara Coffee,4.7,320,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=400&h=400&fit=crop
PROD004,Modern Syari Women's Gamis,Clothing,350000,45,"Premium wolfis fabric gamis with modern and elegant design.",Hijab Style,4.8,450,https://images.unsplash.com/photo-1583391733956-6c78276477e1?w=400&h=400&fit=crop
PROD005,Instant Beef Rendang,Food,85000,90,"Ready-to-eat beef rendang, practical and delicious without preservatives.",Minang Taste,4.9,680,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400&h=400&fit=crop
PROD006,Combed Cotton 30s Plain T-Shirt,Clothing,65000,200,"Unisex plain t-shirt made from combed cotton 30s, soft and not hot.",Basic Wear,4.6,1124,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
PROD007,Jasmine Green Tea Bags,Beverage,30000,120,"Premium green tea with soothing jasmine flower aroma. Contains 25 tea bags.",Sari Wangi Tea,4.7,188,https://images.unsplash.com/photo-1594631661960-0ad05ba629f7?w=400&h=400&fit=crop
PROD008,Bottled Garlic Chili Sauce,Food,35000,110,"Spicy garlic chili sauce made from fresh premium ingredients.",Champion Chili,4.8,310,https://images.unsplash.com/photo-1607532941433-304659e8198a?w=400&h=400&fit=crop
PROD009,Men's Slim Fit Chino Pants,Clothing,180000,75,"Chino pants made from stretch cotton, modern slim fit style.",Urban Male,4.5,215,https://images.unsplash.com/photo-1555689502-c4b22d76c56f?w=400&h=400&fit=crop
PROD010,Organic Date Milk 1L,Beverage,55000,60,"Fresh milk combined with organic date extract, healthy and delicious.",Always Healthy,4.9,410,https://images.unsplash.com/photo-1563636619-e9143da7973b?w=400&h=400&fit=crop
PROD011,Premium Lapis Legit Cake,Food,150000,40,"Traditional lapis legit cake made with Wijsman butter from an old recipe.",Mom's Cake Shop,4.9,150,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&h=400&fit=crop
PROD012,Hoodie Jumper Jacket,Clothing,155000,100,"Hoodie jacket made from thick fleece, suitable for men and women.",Fashionista,4.6,350,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400&h=400&fit=crop
PROD013,Pure Red Guava Juice,Beverage,22000,95,"Red guava juice without added sugar and preservatives. 1-liter packaging.",Fruitastic,4.7,98,https://images.unsplash.com/photo-1622597467836-f3285f2131b8?w=400&h=400&fit=crop
PROD014,Original Beef Floss,Food,45000,130,"Sweet and savory beef floss, perfect as a side dish or bread topping.",Grandma's Kitchen,4.8,205,https://images.unsplash.com/photo-1572449043416-55f4685c9bb7?w=400&h=400&fit=crop
PROD015,Batik House Dress,Clothing,50000,180,"Cotton rayon house dress, cool and comfortable for daily wear.",Batik Jaya,4.7,430,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop
PROD016,Pure Forest Honey 500ml,Beverage,120000,70,"Pure forest honey from the interior of Sumatra, guaranteed benefits.",Herbal Health,4.9,300,https://images.unsplash.com/photo-1587049352846-4a222e784d38?w=400&h=400&fit=crop
PROD017,Spicy Wet Seasoning Stick Noodles,Food,15000,250,"Stick noodle snacks with wet spicy seasoning that's addictive.",Fun Snacks,4.5,550,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=400&h=400&fit=crop
PROD018,Toraja Arabica Coffee 250gr,Beverage,95000,65,"Specialty arabica coffee beans from Toraja. Perfect for manual brewing.",Nusantara Coffee,4.8,280,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=400&h=400&fit=crop
PROD019,Women's Long Sleeve Tunic,Clothing,140000,80,"Muslim tunic made from toyobo cotton, simple and elegant.",Hijab Style,4.7,290,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=400&h=400&fit=crop
PROD020,Complete Instant Aci Meatballs,Food,28000,140,"Complete instant aci meatball package with cuanki, pilus, and spicy seasoning.",Fun Snacks,4.6,780,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=400&h=400&fit=crop
PROD021,Women's Culotte Pants,Clothing,110000,110,"Culotte pants made from scuba fabric, comfortable and flowy for casual style.",Fashionista,4.5,310,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=400&h=400&fit=crop
PROD022,Pure Passion Fruit Syrup,Beverage,60000,55,"Concentrated syrup from pure Medan passion fruit, fresh for making drinks.",Minang Taste,4.8,120,https://images.unsplash.com/photo-1571197776993-b9eeb81df333?w=400&h=400&fit=crop
PROD023,70% Dark Chocolate Bar,Food,40000,90,"70% cocoa dark chocolate, good for heart health.",Always Healthy,4.7,180,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=400&h=400&fit=crop
PROD024,Modern Adult Men's Koko,Clothing,175000,60,"Modern design men's koko shirt with embroidered cotton fabric.",Batik Jaya,4.8,240,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=400&fit=crop
PROD025,Complete Spice Wedang Uwuh,Beverage,32000,150,"Wedang uwuh brew package, warms the body and maintains stamina.",Herbal Health,4.9,400,https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=400&h=400&fit=crop
PROD026,Sago Tempeh Chips,Food,22000,160,"Crispy tempeh chips coated with sago flour, savory and unique.",Grandma's Kitchen,4.6,195,https://images.unsplash.com/photo-1613919113640-25732ec5e61f?w=400&h=400&fit=crop
PROD027,Premium Pleated Skirt,Clothing,95000,130,"Pleated skirt made from super hyget fabric, not see-through and falls well.",Fashionista,4.7,650,https://images.unsplash.com/photo-1583496661160-fb5886a13d57?w=400&h=400&fit=crop
PROD028,Pure Lemon Extract 500ml,Beverage,45000,85,"100% pure lemon juice, perfect for diet and maintaining immunity.",Fruitastic,4.8,330,https://images.unsplash.com/photo-1622597467836-f3285f2131b8?w=400&h=400&fit=crop
PROD029,Dried Balado Jerky,Food,75000,70,"Crispy dried beef jerky with spicy balado seasoning.",Minang Taste,4.7,210,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400&h=400&fit=crop
PROD030,Men's Flannel Shirt,Clothing,160000,90,"Long-sleeve flannel shirt made from thick and soft cotton.",Urban Male,4.6,380,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400&h=400&fit=crop
PROD031,Instant Soy Milk Powder,Beverage,38000,115,"Soy milk powder without artificial sweeteners, rich in plant protein.",Always Healthy,4.5,140,https://images.unsplash.com/photo-1563636619-e9143da7973b?w=400&h=400&fit=crop
PROD032,Original Garut Dodol,Food,30000,100,"Garut dodol with various flavors, made from traditional recipes.",Fun Snacks,4.7,250,https://images.unsplash.com/photo-1572449043416-55f4685c9bb7?w=400&h=400&fit=crop
PROD033,Women's Wudu Leggings,Clothing,55000,150,"Long leggings with built-in socks, practical for ablution.",Hijab Style,4.8,500,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=400&h=400&fit=crop
PROD034,Hot Chocolate Powder,Beverage,48000,80,"Premium chocolate powder drink, thick and delicious served hot.",Nusantara Coffee,4.7,190,https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=400&h=400&fit=crop
